ObjId	ProteinGroup	Concentration	GlycanID	f
71	P_7	0.01	G_322	0.00014923145799134458
72	P_7	22.231111111111115	G_322	0.24914080788962498
73	P_7	44.452222222222225	G_322	0.3988455441793694
74	P_7	66.67333333333335	G_322	0.49877811580469805
75	P_7	88.89444444444446	G_322	0.5702220163215852
76	P_7	111.11555555555557	G_322	0.6238397045613335
77	P_7	133.33666666666667	G_322	0.6655629690021797
78	P_7	155.5577777777778	G_322	0.6989545785863347
79	P_7	177.7788888888889	G_322	0.7262835847317988
80	P_7	200.0	G_322	0.7490636704119851
81	P_8	0.01	G_320	0.00013156163662675962
82	P_8	22.231111111111115	G_320	0.22631436069134017
83	P_8	44.452222222222225	G_320	0.3690444343999927
84	P_8	66.67333333333335	G_320	0.46731461146675396
85	P_8	88.89444444444446	G_320	0.5390990869579867
86	P_8	111.11555555555557	G_320	0.5938338756799126
87	P_8	133.33666666666667	G_320	0.6369484562347734
88	P_8	155.5577777777778	G_320	0.6717881786163281
89	P_8	177.7788888888889	G_320	0.700526705224583
90	P_8	200.0	G_320	0.7246376811594203
91	P_9	0.01	G_321	6.666222251849878e-05
92	P_9	22.231111111111115	G_321	0.1290772089182494
93	P_9	44.452222222222225	G_321	0.22860228448004938
94	P_9	66.67333333333335	G_321	0.3077136088120366
95	P_9	88.89444444444446	G_321	0.37210762540406045
96	P_9	111.11555555555557	G_321	0.4255416929073548
97	P_9	133.33666666666667	G_321	0.47059446359454593
98	P_9	155.5577777777778	G_321	0.5090944793128778
99	P_9	177.7788888888889	G_321	0.542374432629042
100	P_9	200.0	G_321	0.5714285714285714
101	P_10	0.01	G_237	0.00016126431220770844
102	P_10	22.231111111111115	G_237	0.26392992823976363
103	P_10	44.452222222222225	G_237	0.41757909129813064
104	P_10	66.67333333333335	G_237	0.5181596808455521
105	P_10	88.89444444444446	G_237	0.5891167482787821
106	P_10	111.11555555555557	G_237	0.6418577186721779
107	P_10	133.33666666666667	G_237	0.6825992730499479
108	P_10	155.5577777777778	G_237	0.7150182327044667
